HEX,R,G,B,Name
#787878,120,120,120,墙(wall)
#B47878,180,120,120,建筑(building;edifice)
#06E6E6,6,230,230,天空(sky)
#503232,80,50,50,地板(floor;flooring)
#04C803,4,200,3,树(tree)
#787850,120,120,80,天花板(ceiling)
#8C8C8C,140,140,140,路;路线(road;route)
#CC05FF,204,5,255,床(bed)
#E6E6E6,230,230,230,窗户(windowpane;window)
#04FA07,4,250,7,草(grass)
#E005FF,224,5,255,橱柜(cabinet)
#EBFF07,235,255,7,人行道;铺路(sidewalk;pavement)
#96053D,150,5,61,人;个体(person;individual;someone;somebody;mortal;soul)
#787846,120,120,70,土地;地面(earth;ground)
#08FF33,8,255,51,门;双门(door;double;door)
#FF0652,255,6,82,桌子(table)
#8FFF8C,143,255,140,山(mountain;mount)
#CCFF04,204,255,4,植物(plant;flora;plant;life)
#FF3307,255,51,7,窗帘(curtain;drape;drapery;mantle;pall)
#CC4603,204,70,3,椅子(chair)
#0066C8,0,102,200,汽车(car;auto;automobile;machine;motorcar)
#3DE6FA,61,230,250,水(water)
#FF0633,255,6,51,绘画;图片(painting;picture)
#0B66FF,11,102,255,沙发(sofa;couch;lounge)
#FF0747,255,7,71,架子(shelf)
#FF09E0,255,9,224,房子(house)
#0907E6,9,7,230,海(sea)
#DCDCDC,220,220,220,镜子(mirror)
#FF095C,255,9,92,地毯(rug;carpet;carpeting)
#7009FF,112,9,255,田野(field)
#08FFD6,8,255,214,扶手椅(armchair)
#07FFE0,7,255,224,座位(seat)
#FFB806,255,184,6,围栏(fence;fencing)
#0AFF47,10,255,71,书桌(desk)
#FF290A,255,41,10,岩石;石头(rock;stone)
#07FFFF,7,255,255,衣柜(wardrobe;closet;press)
#E0FF08,224,255,8,灯(lamp)
#6608FF,102,8,255,浴缸(bathtub;bathing;tub;bath;tub)
#FF3D06,255,61,6,栏杆(railing;rail)
#FFC207,255,194,7,靠垫(cushion)
#FF7A08,255,122,8,底座(base;pedestal;stand)
#00FF14,0,255,20,盒子(box)
#FF0829,255,8,41,柱子(column;pillar)
#FF0599,255,5,153,招牌(signboard;sign)
#0633FF,6,51,255,抽屉柜(chest;of;drawers;chest;bureau;dresser)
#EB0CFF,235,12,255,柜台(counter)
#A09614,160,150,20,沙子(sand)
#00A3FF,0,163,255,水槽(sink)
#8C8C8C,140,140,140,摩天大楼(skyscraper)
#FA0A0F,250,10,15,壁炉(fireplace;hearth;open;fireplace)
#14FF00,20,255,0,冰箱(refrigerator;icebox)
